"Date","Price","Open","High","Low","Vol.","Change %"
"03/21/2024","10.18","10.88","11.04","10.09","3.68M","-5.74%"
"03/20/2024","10.80","9.92","10.82","9.57","4.22M","9.53%"
"03/19/2024","9.86","10.07","10.32","9.80","2.54M","-3.66%"
"03/18/2024","10.23","10.43","10.51","9.57","3.88M","-3.99%"
"03/15/2024","10.66","10.87","11.44","10.44","15.29M","-2.56%"
"03/14/2024","10.94","11.04","11.49","10.63","3.68M","-1.08%"
"03/13/2024","11.06","10.06","11.09","9.93","3.37M","9.40%"
"03/12/2024","10.11","10.00","10.35","9.90","2.45M","0.70%"
"03/11/2024","10.04","11.17","11.55","9.84","3.67M","-9.96%"
"03/08/2024","11.15","10.48","11.22","10.42","3.81M","7.42%"
"03/07/2024","10.38","10.53","10.87","10.23","3.07M","-0.57%"
"03/06/2024","10.44","11.05","11.28","10.42","3.62M","-4.22%"
"03/05/2024","10.90","10.80","11.07","10.46","2.75M","-0.46%"
"03/04/2024","10.95","12.04","12.35","10.78","4.55M","-6.97%"
"03/01/2024","11.77","10.19","11.91","10.00","6.83M","14.49%"
"02/29/2024","10.28","9.49","10.57","9.33","12.49M","-1.25%"
"02/28/2024","10.41","10.66","11.09","10.21","3.41M","-2.07%"
"02/27/2024","10.63","10.50","11.33","10.32","9.25M","9.70%"
"02/26/2024","9.69","9.78","10.18","9.48","4.57M","0.10%"
"02/23/2024","9.68","9.88","10.15","9.19","4.85M","0.62%"
"02/22/2024","9.62","9.23","9.97","9.05","4.24M","3.78%"
"02/21/2024","9.27","9.40","9.61","8.58","3.37M","-2.22%"
"02/20/2024","9.48","9.06","9.51","8.93","5.28M","1.94%"
"02/16/2024","9.30","7.97","10.24","7.87","11.93M","16.69%"
"02/15/2024","7.97","7.60","8.03","7.33","3.76M","5.15%"
"02/14/2024","7.58","7.19","7.64","6.88","4.44M","9.86%"
"02/13/2024","6.90","6.25","6.95","6.05","3.42M","3.14%"
"02/12/2024","6.69","6.50","6.75","6.35","3.39M","1.83%"
"02/09/2024","6.57","5.77","6.89","5.72","7.73M","15.26%"
"02/08/2024","5.70","5.67","5.80","5.50","1.33M","-0.18%"
"02/07/2024","5.71","5.55","5.85","5.38","3.42M","0.18%"
